hr total gv gu gd ga gn gl lg lb la ln lo tt tr ts li lv to lt lu tk th ti tg te ta yi yo de da oj dz st dv qu kn el eo en zh ee za mh eu et es ru rw rm rn ro jv be bg ba wa wo bm bn bo bh bi br bs ja om ms ty oc und tw os or xh ch co ca ce cy cs cr cv cu ve ps pt unknown tl pa pi ak pl hz hy hr iu ht hu hi ho ha he mg uz ml mn mi ik mk ur mt uk mr ug my ki aa ab ae ss af tn vi is in am it iw an ii ia as ar su io av ay az ie id ig sk nl nn no na nb nd ne ng ny vo zu so nr nv sn fr sm fy fa ff fi fj sa fo ka kg ckb kk sr sq ko sv km kl ks kr si kj kw kv ku sl sc ky sg sw se sd 
10 1412619 0 306 0 0 0 0 0 0 0 0 20 0 64582 0 0 914 0 553 0 0 25300 0 0 51 785 0 0 11520 1561 0 0 0 1 0 59 1791 0 454887 2855 0 0 0 1152 3339 102130 26192 0 0 0 1036 0 0 340 0 0 0 0 203 0 0 0 0 0 164853 0 0 0 0 104291 0 0 32 0 0 0 0 0 902 1365 0 0 0 0 38 147914 0 61737 16 0 0 6224 0 22 0 0 3242 981 7297 0 0 0 0 0 129 0 0 0 0 1629 0 1235 191 0 14 0 0 0 0 0 0 0 942 456 59203 4 16564 899 0 0 0 0 56720 0 0 0 0 0 0 0 0 0 11192 0 1350 0 0 0 562 0 0 0 0 0 0 0 0 46573 0 0 1221 0 3329 0 0 0 8 0 29 0 355 0 6903 3774 8 0 0 0 168 0 0 0 0 663 0 0 0 0 0 7 
11 1540276 0 231 0 0 0 0 0 0 0 0 16 0 51989 0 0 856 0 588 0 0 28128 0 0 51 667 0 0 12597 1631 0 0 0 0 0 92 1594 0 520303 2911 0 0 0 1206 3501 128982 25534 0 0 0 1121 0 0 307 0 0 0 0 173 0 0 0 0 0 168964 0 0 0 0 112104 0 0 43 0 0 0 0 0 1002 1273 0 0 0 0 34 178597 0 67671 15 0 0 5891 0 24 0 0 3402 995 7100 0 0 0 0 0 127 0 0 0 0 1577 0 1154 248 0 20 0 0 0 0 0 0 0 859 504 60432 2 16298 893 0 0 0 0 56410 0 0 0 0 0 0 0 0 0 10547 0 1411 0 0 0 501 0 0 0 0 0 0 0 0 43232 0 0 1238 0 3113 0 0 0 6 0 26 0 341 0 7233 3793 11 0 0 0 125 0 0 0 0 569 0 0 0 0 0 13 
12 1617598 0 259 0 0 0 0 0 0 0 0 19 0 48806 0 0 922 0 597 0 0 27574 0 0 58 644 0 0 11701 1617 0 0 0 1 0 61 1291 0 590538 2700 0 0 0 1201 3375 145376 23816 0 0 0 1051 0 0 248 0 0 0 0 199 0 0 0 0 0 159640 0 0 0 0 113955 0 0 24 0 0 0 0 0 1014 1290 0 0 0 0 11 201018 0 69362 23 0 0 5175 0 19 0 0 3570 877 6333 0 0 0 0 0 159 0 0 0 0 1167 0 1045 175 0 19 0 0 0 0 0 0 0 701 488 59479 5 15162 790 0 0 0 0 49745 0 0 0 0 0 0 0 0 0 9861 0 1444 0 0 0 495 0 0 0 0 0 0 0 0 37262 0 0 1097 0 2756 0 0 0 2 0 17 0 299 0 6653 3643 10 0 0 0 149 0 0 0 0 603 0 0 0 0 0 7 
13 1714785 0 253 0 0 0 0 0 0 0 0 22 0 52885 0 0 906 0 690 0 0 27985 0 0 57 730 0 0 9889 1538 0 0 0 0 0 63 1365 0 655122 2426 0 0 0 1238 3356 163362 22616 0 0 0 1079 0 0 248 0 0 0 0 174 0 0 0 0 0 143474 0 0 0 0 119344 0 0 38 0 0 0 0 0 1044 1332 0 0 0 0 19 229246 0 71279 24 0 0 5179 0 27 0 0 4045 960 6882 0 0 0 0 0 184 0 0 0 0 1346 0 953 216 0 29 0 0 0 0 0 0 0 604 514 58519 5 15142 821 0 0 0 0 47540 0 0 0 0 0 0 0 0 0 9809 0 1324 0 0 0 559 0 0 0 0 0 0 0 0 33382 0 0 1053 0 2857 0 0 0 4 0 25 0 245 0 6563 3420 6 0 0 0 212 0 0 0 0 553 0 0 0 0 0 3 
14 1740022 0 234 0 0 0 0 0 0 0 0 19 0 51853 0 0 925 0 657 0 0 29603 0 0 67 724 0 0 9164 1529 0 0 0 0 0 90 1280 0 700396 2587 0 0 0 1253 3252 168713 22633 0 0 0 1099 0 0 269 0 0 0 0 177 1 0 0 0 0 118445 0 0 0 0 121400 0 0 62 0 0 0 0 0 1031 1259 0 0 0 0 20 242978 0 64917 24 0 0 4928 0 33 0 0 4146 901 7338 0 0 0 0 0 133 0 0 0 0 1234 0 968 200 0 20 0 0 0 0 0 0 0 569 517 55038 4 13844 752 0 0 0 0 44514 0 0 0 0 0 0 0 0 0 9659 0 1377 0 0 0 606 0 0 0 0 0 0 0 0 32264 0 0 1015 0 2863 0 0 0 3 0 30 0 253 0 5968 3459 2 0 0 0 209 0 0 0 0 512 0 0 0 0 0 2 
15 1634592 0 352 0 0 0 0 0 0 0 0 5 0 46702 0 0 822 0 597 0 0 28027 0 0 59 689 0 0 9086 1394 0 0 0 0 0 127 1102 0 703875 2205 0 0 0 1185 3045 164648 21534 0 0 0 987 0 0 261 0 0 0 0 158 0 0 0 0 0 81232 0 0 0 0 117231 0 0 29 0 0 0 0 0 952 1366 0 0 0 0 12 218879 0 48152 25 0 0 4512 0 18 0 0 3894 891 6794 0 0 0 0 0 153 0 0 0 0 1298 0 927 222 0 25 0 0 0 0 0 0 0 474 470 46062 2 12298 720 0 0 0 0 46222 0 0 0 0 0 0 0 0 0 8410 0 1330 0 0 0 547 0 0 0 0 0 0 0 0 31548 0 0 1061 0 2668 0 0 0 6 0 26 0 244 0 5104 3222 5 0 0 0 225 0 0 0 0 468 0 0 0 0 0 8 
16 1517211 0 584 0 0 0 0 0 0 0 0 7 0 60740 0 0 815 0 606 0 0 22025 0 0 46 679 0 0 8785 1345 0 0 0 1 0 119 1103 0 687902 1556 0 0 0 1010 2635 159852 20505 0 0 0 1005 0 0 212 0 0 0 0 202 0 0 0 0 0 43605 0 0 0 0 112381 0 0 33 0 0 0 0 0 913 1258 0 0 0 0 15 186089 0 31447 24 0 0 4468 0 28 0 0 3812 840 6979 0 0 0 0 0 146 0 0 0 0 1346 0 896 186 0 20 0 0 0 0 0 0 0 452 467 35557 3 12666 757 0 0 0 0 47813 0 0 0 0 0 0 0 0 0 8072 0 1233 0 0 0 388 0 0 0 0 0 0 0 0 32833 0 0 1018 0 2515 0 0 0 8 0 16 0 234 0 3245 3110 2 0 0 0 125 0 0 0 0 464 0 0 0 0 0 13 
17 1732790 0 211 0 0 0 0 0 0 0 0 3 0 90656 0 0 894 0 648 0 0 18963 0 0 59 564 0 0 9995 1595 0 0 0 1 0 56 1331 0 797723 1247 0 0 0 1143 2918 187647 24994 0 0 0 1093 0 0 271 0 0 0 0 165 0 0 0 0 0 31678 0 0 0 0 130263 0 0 52 0 0 0 0 0 1102 1427 0 0 0 0 19 206306 0 24489 20 0 0 5579 0 29 0 0 4385 920 6570 0 0 0 0 0 159 0 0 0 0 1609 0 1138 156 0 13 0 0 0 0 0 0 0 325 487 30089 3 15137 966 0 0 0 0 64429 0 0 0 0 0 0 0 0 0 9377 0 1460 0 0 0 299 0 0 0 0 0 0 0 0 40339 0 0 1275 0 3010 0 0 0 5 0 27 0 341 0 2559 3917 2 0 0 0 100 0 0 0 0 537 0 0 0 0 0 15 
18 1732392 0 123 0 0 0 0 0 0 0 0 1 0 99917 0 0 882 0 666 0 0 12071 0 0 21 317 0 0 10282 1593 0 0 0 0 0 53 1795 0 801808 951 0 0 0 1104 2855 181942 25610 0 0 0 1155 0 0 289 0 0 0 0 141 0 0 0 0 0 21169 0 0 0 0 132017 0 0 30 0 0 0 0 0 1108 1517 0 0 0 0 15 214739 0 17085 15 0 0 6043 0 40 0 0 4330 1107 4500 0 0 0 0 0 90 0 0 0 0 1419 0 1089 146 0 6 0 0 0 0 0 0 0 285 538 20720 5 15420 936 0 0 0 0 77096 0 0 0 0 0 0 0 0 0 10614 0 1421 0 0 0 113 0 0 0 0 0 0 0 0 43377 0 0 1438 0 3326 0 0 0 8 0 26 0 292 0 1750 4281 0 0 0 0 50 0 0 0 0 641 0 0 0 0 0 14 
19 1732652 0 58 0 0 0 0 0 0 0 0 1 0 78089 0 0 847 0 691 0 0 7042 0 0 14 174 0 0 10853 1521 0 0 0 1 0 27 2228 0 808663 721 0 0 0 1122 2774 180989 25223 0 0 0 1057 0 0 286 0 0 0 0 146 0 0 0 0 0 17500 0 0 0 0 133569 0 0 7 0 0 0 0 0 1130 1414 0 0 0 0 12 247978 0 13039 6 0 0 6324 0 48 0 0 4407 1054 2738 0 0 0 0 0 90 0 0 0 0 1245 0 1236 56 1 5 0 0 0 0 0 0 0 237 624 15280 6 18314 928 0 0 0 0 72448 0 0 0 0 0 0 0 0 0 10961 0 1544 0 0 0 46 0 0 0 0 0 0 0 0 46656 0 0 1617 0 2944 0 0 0 5 0 45 0 310 0 1345 4301 0 0 0 0 38 0 0 0 0 613 0 0 0 0 0 4 
20 1735036 0 30 0 0 0 0 0 0 0 0 1 0 70689 0 0 712 0 700 0 0 4080 0 0 8 79 0 0 9826 1532 0 0 0 0 0 18 1992 0 796219 544 0 0 0 1339 2539 185297 21840 0 0 0 1012 0 0 232 0 0 0 0 74 0 0 0 0 0 22732 0 0 0 0 133082 0 0 3 0 0 0 0 0 1068 1185 0 0 0 0 8 277184 0 11513 4 0 0 6023 0 48 0 0 4483 1046 1730 0 0 0 0 0 67 0 0 0 0 895 0 1068 8 0 3 0 0 0 0 0 0 0 212 775 12913 8 19482 662 0 0 0 0 69021 0 0 0 0 0 0 0 0 0 10262 0 1431 0 0 0 46 0 0 0 0 0 0 0 0 49688 0 0 1652 0 2356 0 0 0 4 0 40 0 264 0 981 3782 0 0 0 0 6 0 0 0 0 532 0 0 0 0 0 6 
21 1728100 0 11 0 0 0 0 0 0 0 0 0 0 59367 0 0 635 0 603 0 0 2677 0 0 1 46 0 0 8270 1361 0 0 0 0 0 5 1311 0 779810 540 0 0 0 1342 2403 195911 17143 0 0 0 951 0 0 190 0 0 0 0 57 0 0 0 0 0 43549 0 0 0 0 130032 0 0 1 0 0 0 0 0 1021 1106 0 0 0 0 1 298213 0 12714 1 0 0 4900 0 21 0 0 4168 851 1095 0 0 0 0 0 38 0 0 0 0 575 0 787 7 0 1 0 0 0 0 0 0 0 268 613 13138 6 17698 414 0 0 0 0 61682 0 0 0 0 0 0 0 0 0 7794 0 1191 0 0 0 26 0 0 0 0 0 0 0 0 45774 0 0 1257 0 1936 0 0 0 2 0 52 0 246 0 1137 2690 0 0 0 0 11 0 0 0 0 448 0 0 0 0 0 2 
22 1716603 0 18 0 0 0 0 0 0 0 0 1 0 42596 0 0 516 0 701 0 0 2773 0 0 0 30 0 0 6273 1130 0 0 0 0 0 3 723 0 757298 832 0 0 0 1241 2296 204915 11501 0 0 0 995 0 0 119 0 0 0 0 23 0 0 0 0 0 67124 0 0 0 0 125872 0 0 2 0 0 0 0 0 1025 896 0 0 0 0 1 329060 0 16693 2 0 0 3398 0 30 0 0 4197 735 910 0 0 0 0 0 25 0 0 0 0 451 0 519 18 0 2 0 0 0 0 0 0 0 202 647 17494 6 12416 267 0 0 0 0 50844 0 0 0 0 0 0 0 0 0 5229 0 1049 0 0 0 28 0 0 0 0 0 0 0 0 36243 0 0 922 0 1715 0 0 0 1 0 29 0 198 0 2086 1889 2 0 0 0 11 0 0 0 0 379 0 0 0 0 0 2 
23 1712639 0 9 0 0 0 0 0 0 0 0 4 0 22600 0 0 536 0 697 0 0 5758 0 0 2 49 0 0 4105 983 0 0 0 0 0 12 339 0 754292 1204 0 0 0 1145 2280 208616 7283 0 0 0 943 0 0 78 0 0 0 0 33 0 0 0 0 0 74792 0 0 0 0 122376 0 0 2 0 0 0 0 0 989 701 0 0 0 0 1 363887 0 20970 6 0 0 2168 0 5 0 0 4207 628 1100 0 0 0 0 0 27 0 0 0 0 310 0 295 19 0 4 0 0 0 0 0 0 0 304 650 24537 3 8028 110 0 0 0 0 37866 0 0 0 0 0 0 0 0 0 3190 0 922 0 0 0 88 0 0 0 0 0 0 0 0 26675 0 0 484 0 1646 0 0 0 2 0 11 0 106 0 2864 1363 7 0 0 0 31 0 0 0 0 296 0 0 0 0 0 1 
24 1722564 0 18 0 0 0 0 0 0 0 0 3 0 12565 0 0 488 0 721 0 0 8474 0 0 4 97 0 0 3284 942 0 0 0 0 0 35 187 0 756427 1526 0 0 0 1185 2332 215665 5091 0 0 0 839 0 0 51 0 0 0 0 47 0 0 0 0 0 70557 0 0 0 0 121015 0 0 7 0 0 0 0 0 946 604 0 0 0 0 3 392109 0 25539 4 0 0 1493 0 4 0 0 4198 592 1763 0 0 0 0 0 35 0 0 0 0 260 0 185 43 0 5 0 0 0 0 0 0 0 375 580 30976 0 5944 75 0 0 0 0 26442 0 0 0 0 0 0 0 0 0 2448 0 770 0 0 0 193 0 0 0 0 0 0 0 0 18701 0 0 355 0 1682 0 0 0 1 0 8 0 57 0 3254 1059 5 0 0 0 40 0 0 0 0 256 0 0 0 0 0 0 
